Station Number,Station Name,Province,Status,Latitude,Longitude,Year From,Year To,Gross Drainage Area (km2),Effective Drainage Area (km2),Regulation,Data Type,Operation Schedule,Sediment,RHBN,Real-Time,Datum Name,Publishing Office,Operating Agency,Contributed
08NM028,"OYAMA CREEK OYAMA DIVERSION",BC,Discontinued,50.11528,-119.33056,1920,1931,"",,R,Flow,Seasonal,N,N,N,,VANCOUVER,"",N
08NM029,"PEACHLAND CREEK NEAR PEACHLAND",BC,Discontinued,49.75500,-119.81333,1919,1922,"122",,R,Flow,Seasonal,N,N,N,,VANCOUVER,"",N
08NM030,"PEACHLAND CREEK MUNICIPAL IRRIGATION DIVERSION",BC,Discontinued,49.75778,-119.81611,1924,1926,"",,R,Flow,Miscellaneous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08NM031,"PENTICTON CREEK BELOW DIVERSION",BC,Discontinued,49.49000,-119.56000,1920,1921,"",,R,Flow,Seasonal,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08NM032,"PENTICTON CREEK MAIN DIVERSION",BC,Discontinued,49.49167,-119.55972,1919,1966,"",,R,Flow,Seasonal,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08NM033,"POWERS CREEK ABOVE WESTBANK DIVERSION",BC,Discontinued,49.85861,-119.67028,1920,1974,"128",,N,Flow,Seasonal,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08NM034,"POWERS CREEK WESTBANK DIVERSION",BC,Discontinued,49.85417,-119.66722,1920,1931,"",,R,Flow,Seasonal,N,N,N,,VANCOUVER,"",N
08NM035,"BELLEVUE CREEK NEAR OKANAGAN MISSION",BC,Discontinued,49.79389,-119.46083,1969,1986,"73.3",,N,Flow,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08NM036,"SCOTTY CREEK NEAR RUTLAND",BC,Discontinued,49.93139,-119.33333,1919,1964,"35.0",,N,Flow,Seasonal,N,N,N,,VANCOUVER,"",N
08NM037,"SHATFORD CREEK NEAR PENTICTON",BC,Active,49.42746,-119.75155,1966,2024,"101",,R,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
08NM038,"SHINGLE CREEK ABOVE KALEDEN DIVERSION",BC,Discontinued,49.51028,-119.79500,1920,1977,"44.8",,N,Flow,Seasonal,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08NM039,"HYDRAULIC CREEK DIVERSION NEAR KELOWNA",BC,Discontinued,49.83333,-119.35000,1919,1968,"",,R,Flow,Seasonal,N,N,N,,VANCOUVER,"",N
08NM040,"HYDRAULIC CREEK SOUTHEAST KELOWNA DIVERSION",BC,Discontinued,49.82639,-119.37111,1920,1930,"",,R,Flow,Seasonal,N,N,N,,VANCOUVER,"",N
08NM041,"TREPANIER CREEK NEAR PEACHLAND",BC,Discontinued,49.82582,-119.78702,1973,2016,"182",,R,Flow and Level,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
