x,y,MAX_REL_HUMIDITY,MAX_TEMPERATURE_FLAG,LOCAL_DAY,HEATING_DEGREE_DAYS,TOTAL_PRECIPITATION,ID,LOCAL_MONTH,COOLING_DEGREE_DAYS,MAX_REL_HUMIDITY_FLAG,MEAN_TEMPERATURE_FLAG,SNOW_ON_GROUND,DIRECTION_MAX_GUST,MIN_REL_HUMIDITY,MIN_TEMPERATURE,CLIMATE_IDENTIFIER,DIRECTION_MAX_GUST_FLAG,LOCAL_DATE,LOCAL_YEAR,MEAN_TEMPERATURE,HEATING_DEGREE_DAYS_FLAG,SPEED_MAX_GUST_FLAG,MIN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY_FLAG,TOTAL_SNOW,TOTAL_RAIN,TOTAL_RAIN_FLAG,SPEED_MAX_GUST,TOTAL_PRECIPITATION_FLAG,SNOW_ON_GROUND_FLAG,COOLING_DEGREE_DAYS_FLAG,STATION_NAME,MAX_TEMPERATURE,PROVINCE_CODE,TOTAL_SNOW_FLAG
-121.93415138888889,50.683727777777776,96,,19,15.1,,1114619.2013.2.19,2,0,,,,,38,-1.7,1114619,M,2013-02-19 00:00:00,2013,2.9,,M,,,,,M,,M,,,LILLOOET,7.5,BC,M
-121.93415138888889,50.683727777777776,96,,1,15.2,,1114619.2013.2.1,2,0,,,,,65,-1.3,1114619,M,2013-02-01 00:00:00,2013,2.8,,M,,,,,M,,M,,,LILLOOET,6.8,BC,M
-121.93415138888889,50.683727777777776,92,,6,13.5,,1114619.2013.2.6,2,0,,,,,59,1.5,1114619,M,2013-02-06 00:00:00,2013,4.5,,M,,,,,M,,M,,,LILLOOET,7.5,BC,M
-121.93415138888889,50.683727777777776,88,,14,13.8,,1114619.2013.2.14,2,0,,,,,53,-0.2,1114619,M,2013-02-14 00:00:00,2013,4.2,,M,,,,,M,,M,,,LILLOOET,8.5,BC,M
-121.93415138888889,50.683727777777776,97,,4,13.9,,1114619.2013.2.4,2,0,,,,,66,0.8,1114619,M,2013-02-04 00:00:00,2013,4.1,,M,,,,,M,,M,,,LILLOOET,7.3,BC,M
-121.93415138888889,50.683727777777776,92,,17,13.7,,1114619.2013.2.17,2,0,,,,,46,0.5,1114619,M,2013-02-17 00:00:00,2013,4.3,,M,,,,,M,,M,,,LILLOOET,8.1,BC,M
-121.93415138888889,50.683727777777776,64,,24,11.5,,1114619.2013.2.24,2,0,,,,,42,3.6,1114619,M,2013-02-24 00:00:00,2013,6.5,,M,,,,,M,,M,,,LILLOOET,9.3,BC,M
-121.93415138888889,50.683727777777776,96,,11,16.1,,1114619.2013.2.11,2,0,,,,,59,-2.8,1114619,M,2013-02-11 00:00:00,2013,1.9,,M,,,,,M,,M,,,LILLOOET,6.6,BC,M
-121.93415138888889,50.683727777777776,89,,30,7.8,,1114619.2013.3.30,3,0,,,,,24,0.8,1114619,M,2013-03-30 00:00:00,2013,10.2,,M,,,,,M,,M,,,LILLOOET,19.6,BC,M
-121.93415138888889,50.683727777777776,73,,10,9.3,,1114619.2013.3.10,3,0,,,,,28,3.6,1114619,M,2013-03-10 00:00:00,2013,8.7,,M,,,,,M,,M,,,LILLOOET,13.8,BC,M
-121.93415138888889,50.683727777777776,82,,14,7.3,,1114619.2013.3.14,3,0,,,,,43,7.3,1114619,M,2013-03-14 00:00:00,2013,10.7,,M,,,,,M,,M,,,LILLOOET,14.1,BC,M
-121.93415138888889,50.683727777777776,97,,7,13.9,,1114619.2013.3.7,3,0,,,,,61,1,1114619,M,2013-03-07 00:00:00,2013,4.1,,M,,,,,M,,M,,,LILLOOET,7.2,BC,M
-121.93415138888889,50.683727777777776,89,,17,12.7,,1114619.2013.3.17,3,0,,,,,37,1.2,1114619,M,2013-03-17 00:00:00,2013,5.3,,M,,,,,M,,M,,,LILLOOET,9.4,BC,M
-121.93415138888889,50.683727777777776,96,,3,14.6,,1114619.2013.3.3,3,0,,,,,56,-0.4,1114619,M,2013-03-03 00:00:00,2013,3.4,,M,,,,,M,,M,,,LILLOOET,7.2,BC,M
-121.93415138888889,50.683727777777776,89,,1,11.3,,1114619.2013.3.1,3,0,,,,,76,5.9,1114619,M,2013-03-01 00:00:00,2013,6.7,,M,,,,,M,,M,,,LILLOOET,7.4,BC,M
-121.93415138888889,50.683727777777776,94,,6,14.8,,1114619.2013.3.6,3,0,,,,,59,1,1114619,M,2013-03-06 00:00:00,2013,3.2,,M,,,,,M,,M,,,LILLOOET,5.3,BC,M
-121.93415138888889,50.683727777777776,92,,8,12,,1114619.2013.3.8,3,0,,,,,41,0.7,1114619,M,2013-03-08 00:00:00,2013,6,,M,,,,,M,,M,,,LILLOOET,11.3,BC,M
-121.93415138888889,50.683727777777776,93,,26,10.5,,1114619.2013.3.26,3,0,,,,,30,-1,1114619,M,2013-03-26 00:00:00,2013,7.5,,M,,,,,M,,M,,,LILLOOET,16,BC,M
-121.93415138888889,50.683727777777776,91,,19,15.4,,1114619.2013.3.19,3,0,,,,,41,-3.1,1114619,M,2013-03-19 00:00:00,2013,2.6,,M,,,,,M,,M,,,LILLOOET,8.2,BC,M
-121.93415138888889,50.683727777777776,87,,21,13.8,,1114619.2013.3.21,3,0,,,,,30,-0.2,1114619,M,2013-03-21 00:00:00,2013,4.2,,M,,,,,M,,M,,,LILLOOET,8.5,BC,M
-121.93415138888889,50.683727777777776,93,,4,14,,1114619.2013.3.4,3,0,,,,,38,-1.3,1114619,M,2013-03-04 00:00:00,2013,4,,M,,,,,M,,M,,,LILLOOET,9.2,BC,M
-121.93415138888889,50.683727777777776,92,,22,14.8,,1114619.2013.3.22,3,0,,,,,28,-1.9,1114619,M,2013-03-22 00:00:00,2013,3.2,,M,,,,,M,,M,,,LILLOOET,8.2,BC,M
-121.93415138888889,50.683727777777776,86,,25,10.8,,1114619.2013.3.25,3,0,,,,,28,-1,1114619,M,2013-03-25 00:00:00,2013,7.2,,M,,,,,M,,M,,,LILLOOET,15.4,BC,M
-121.93415138888889,50.683727777777776,83,,27,6.6,,1114619.2013.3.27,3,0,,,,,24,2.6,1114619,M,2013-03-27 00:00:00,2013,11.4,,M,,,,,M,,M,,,LILLOOET,20.1,BC,M
-121.93415138888889,50.683727777777776,95,,2,12.9,,1114619.2013.3.2,3,0,,,,,82,2.9,1114619,M,2013-03-02 00:00:00,2013,5.1,,M,,,,,M,,M,,,LILLOOET,7.2,BC,M
-121.93415138888889,50.683727777777776,88,,28,7.9,,1114619.2013.3.28,3,0,,,,,29,1.6,1114619,M,2013-03-28 00:00:00,2013,10.1,,M,,,,,M,,M,,,LILLOOET,18.6,BC,M
